case_id,red_speed,red_tr,red_br,blue_tr,blue_br,red_total,blue_total,diff,winner,red_transfer,red_tower,red_mustika,blue_transfer,blue_tower,blue_mustika,red_sanctuary_at,blue_sanctuary_at,red_mustika_at,blue_mustika_at,mustika_owner,red_complete_towers,blue_complete_towers,red_delivered_earth,red_delivered_sky,blue_delivered_earth,blue_delivered_sky
251,1/2,Sky先置き準備,L1最速サンクチュアリ,Sky先置き準備,共有エリア先取り,70,400,-330,blue,20,50,0,40,110,250,,110.6,,153.8,blue,1,1,3,1,5,3
252,1/2,Sky先置き準備,L1最速サンクチュアリ,Sky先置き準備,スカイ反転圧力,95,430,-335,blue,25,70,0,40,140,250,,133.2,,177.2,blue,1,2,3,2,5,3
253,1/2,Sky先置き準備,L2高得点寄せ,BR要求に追従,L1最速サンクチュアリ,165,180,-15,blue,25,140,0,40,140,0,,141.4,,,,1,2,3,2,5,3
254,1/2,Sky先置き準備,L2高得点寄せ,BR要求に追従,L2高得点寄せ,165,250,-85,blue,25,140,0,40,210,0,,150.2,,,,1,2,3,2,5,3
255,1/2,Sky先置き準備,L2高得点寄せ,BR要求に追従,共有エリア先取り,165,180,-15,blue,25,140,0,40,140,0,,143.8,,,,1,2,3,2,5,3
256,1/2,Sky先置き準備,L2高得点寄せ,BR要求に追従,スカイ反転圧力,165,180,-15,blue,25,140,0,40,140,0,,141.4,,,,1,2,3,2,5,3
257,1/2,Sky先置き準備,L2高得点寄せ,Earth先行補給,L1最速サンクチュアリ,165,440,-275,blue,25,140,0,50,140,250,,131.8,,175.8,blue,1,2,3,2,7,3
258,1/2,Sky先置き準備,L2高得点寄せ,Earth先行補給,L2高得点寄せ,165,510,-345,blue,25,140,0,50,210,250,,137.8,,178,blue,1,2,3,2,7,3
259,1/2,Sky先置き準備,L2高得点寄せ,Earth先行補給,共有エリア先取り,165,440,-275,blue,25,140,0,50,140,250,,135.2,,178.4,blue,1,2,3,2,7,3
260,1/2,Sky先置き準備,L2高得点寄せ,Earth先行補給,スカイ反転圧力,165,440,-275,blue,25,140,0,50,140,250,,131.8,,175.8,blue,1,2,3,2,7,3
261,1/2,Sky先置き準備,L2高得点寄せ,Sky先置き準備,L1最速サンクチュアリ,165,430,-265,blue,25,140,0,40,140,250,,133.2,,177.2,blue,1,2,3,2,5,3
262,1/2,Sky先置き準備,L2高得点寄せ,Sky先置き準備,L2高得点寄せ,165,250,-85,blue,25,140,0,40,210,0,,143,,,,1,2,3,2,5,3
263,1/2,Sky先置き準備,L2高得点寄せ,Sky先置き準備,共有エリア先取り,165,430,-265,blue,25,140,0,40,140,250,,135.6,,178.8,blue,1,2,3,2,5,3
264,1/2,Sky先置き準備,L2高得点寄せ,Sky先置き準備,スカイ反転圧力,165,430,-265,blue,25,140,0,40,140,250,,133.2,,177.2,blue,1,2,3,2,5,3
265,1/2,Sky先置き準備,共有エリア先取り,BR要求に追従,L1最速サンクチュアリ,135,140,-5,blue,25,110,0,40,100,0,179.6,141.4,,,,2,1,3,2,5,3
266,1/2,Sky先置き準備,共有エリア先取り,BR要求に追従,L2高得点寄せ,135,210,-75,blue,25,110,0,40,170,0,179.6,150.2,,,,2,1,3,2,5,3
267,1/2,Sky先置き準備,共有エリア先取り,BR要求に追従,共有エリア先取り,110,335,-225,blue,20,90,0,35,50,250,173.8,118.8,,162,blue,2,0,3,1,4,3
268,1/2,Sky先置き準備,共有エリア先取り,BR要求に追従,スカイ反転圧力,135,140,-5,blue,25,110,0,40,100,0,179.6,141.4,,,,2,1,3,2,5,3
269,1/2,Sky先置き準備,共有エリア先取り,Earth先行補給,L1最速サンクチュアリ,135,400,-265,blue,25,110,0,50,100,250,179.6,131.8,,175.8,blue,2,1,3,2,7,3
270,1/2,Sky先置き準備,共有エリア先取り,Earth先行補給,L2高得点寄せ,135,470,-335,blue,25,110,0,50,170,250,179.6,137.8,,178,blue,2,1,3,2,7,3
271,1/2,Sky先置き準備,共有エリア先取り,Earth先行補給,共有エリア先取り,110,345,-235,blue,20,90,0,45,50,250,173.8,116.2,,159.4,blue,2,0,3,1,6,3
272,1/2,Sky先置き準備,共有エリア先取り,Earth先行補給,スカイ反転圧力,135,400,-265,blue,25,110,0,50,100,250,179.6,131.8,,175.8,blue,2,1,3,2,7,3
273,1/2,Sky先置き準備,共有エリア先取り,Sky先置き準備,L1最速サンクチュアリ,135,390,-255,blue,25,110,0,40,100,250,179.6,133.2,,177.2,blue,2,1,3,2,5,3
274,1/2,Sky先置き準備,共有エリア先取り,Sky先置き準備,L2高得点寄せ,135,210,-75,blue,25,110,0,40,170,0,179.6,143,,,,2,1,3,2,5,3
275,1/2,Sky先置き準備,共有エリア先取り,Sky先置き準備,共有エリア先取り,110,360,-250,blue,20,90,0,40,70,250,173.8,110.6,,153.8,blue,2,0,3,1,5,3
276,1/2,Sky先置き準備,共有エリア先取り,Sky先置き準備,スカイ反転圧力,135,390,-255,blue,25,110,0,40,100,250,179.6,133.2,,177.2,blue,2,1,3,2,5,3
277,1/2,Sky先置き準備,スカイ反転圧力,BR要求に追従,L1最速サンクチュアリ,135,140,-5,blue,25,110,0,40,100,0,179.6,141.4,,,,2,1,3,2,5,3
278,1/2,Sky先置き準備,スカイ反転圧力,BR要求に追従,L2高得点寄せ,135,210,-75,blue,25,110,0,40,170,0,179.6,150.2,,,,2,1,3,2,5,3
279,1/2,Sky先置き準備,スカイ反転圧力,BR要求に追従,共有エリア先取り,110,335,-225,blue,20,90,0,35,50,250,173.8,118.8,,162,blue,2,0,3,1,4,3
280,1/2,Sky先置き準備,スカイ反転圧力,BR要求に追従,スカイ反転圧力,135,140,-5,blue,25,110,0,40,100,0,179.6,141.4,,,,2,1,3,2,5,3
281,1/2,Sky先置き準備,スカイ反転圧力,Earth先行補給,L1最速サンクチュアリ,135,400,-265,blue,25,110,0,50,100,250,179.6,131.8,,175.8,blue,2,1,3,2,7,3
282,1/2,Sky先置き準備,スカイ反転圧力,Earth先行補給,L2高得点寄せ,135,470,-335,blue,25,110,0,50,170,250,179.6,137.8,,178,blue,2,1,3,2,7,3
283,1/2,Sky先置き準備,スカイ反転圧力,Earth先行補給,共有エリア先取り,110,345,-235,blue,20,90,0,45,50,250,173.8,116.2,,159.4,blue,2,0,3,1,6,3
284,1/2,Sky先置き準備,スカイ反転圧力,Earth先行補給,スカイ反転圧力,135,400,-265,blue,25,110,0,50,100,250,179.6,131.8,,175.8,blue,2,1,3,2,7,3
285,1/2,Sky先置き準備,スカイ反転圧力,Sky先置き準備,L1最速サンクチュアリ,135,390,-255,blue,25,110,0,40,100,250,179.6,133.2,,177.2,blue,2,1,3,2,5,3
286,1/2,Sky先置き準備,スカイ反転圧力,Sky先置き準備,L2高得点寄せ,135,210,-75,blue,25,110,0,40,170,0,179.6,143,,,,2,1,3,2,5,3
287,1/2,Sky先置き準備,スカイ反転圧力,Sky先置き準備,共有エリア先取り,110,360,-250,blue,20,90,0,40,70,250,173.8,110.6,,153.8,blue,2,0,3,1,5,3
288,1/2,Sky先置き準備,スカイ反転圧力,Sky先置き準備,スカイ反転圧力,135,390,-255,blue,25,110,0,40,100,250,179.6,133.2,,177.2,blue,2,1,3,2,5,3
289,1/4,BR要求に追従,L1最速サンクチュアリ,BR要求に追従,L1最速サンクチュアリ,20,180,-160,blue,10,10,0,40,140,0,,141.4,,,,0,2,2,0,5,3
290,1/4,BR要求に追従,L1最速サンクチュアリ,BR要求に追従,L2高得点寄せ,20,250,-230,blue,10,10,0,40,210,0,,150.2,,,,0,2,2,0,5,3
291,1/4,BR要求に追従,L1最速サンクチュアリ,BR要求に追従,共有エリア先取り,15,180,-165,blue,15,0,0,40,140,0,,143.8,,,,0,2,2,1,5,3
292,1/4,BR要求に追従,L1最速サンクチュアリ,BR要求に追従,スカイ反転圧力,20,180,-160,blue,10,10,0,40,140,0,,141.4,,,,0,2,2,0,5,3
293,1/4,BR要求に追従,L1最速サンクチュアリ,Earth先行補給,L1最速サンクチュアリ,20,440,-420,blue,10,10,0,50,140,250,,131.8,,175.8,blue,0,2,2,0,7,3
294,1/4,BR要求に追従,L1最速サンクチュアリ,Earth先行補給,L2高得点寄せ,20,510,-490,blue,10,10,0,50,210,250,,137.8,,178,blue,0,2,2,0,7,3
295,1/4,BR要求に追従,L1最速サンクチュアリ,Earth先行補給,共有エリア先取り,15,440,-425,blue,15,0,0,50,140,250,,135.2,,178.4,blue,0,2,2,1,7,3
296,1/4,BR要求に追従,L1最速サンクチュアリ,Earth先行補給,スカイ反転圧力,20,440,-420,blue,10,10,0,50,140,250,,131.8,,175.8,blue,0,2,2,0,7,3
